order,label,type,role,amount,signed_amount,start,end,approximate
1,Einwohner,total,start_total,11240000,11240000,0,11240000,True
2,Nichtwahlberechtigte,delta,exclusion,3466659,-3466659,11240000,7773341,True
3,Wahlberechtigte,total,subtotal,7773341,7773341,0,7773341,False
4,Nichtwähler,delta,exclusion,2366489,-2366489,7773341,5406852,False
5,Wählende,total,subtotal,5406852,5406852,0,5406852,False
6,Ungültige Zweitstimmen,delta,exclusion,32018,-32018,5406852,5374834,False
7,Gültige Zweitstimmen,total,subtotal,5374834,5374834,0,5374834,False
8,Parteien < 5 %,delta,exclusion,847107,-847107,5374834,4527727,False
9,Repräsentierte Zweitstimmen,total,represented_total,4527727,4527727,0,4527727,False
10,GRÜNE,delta,represented_party,1623156,-1623156,4527727,2904571,False
11,CDU,delta,represented_party,1595844,-1595844,2904571,1308727,False
12,AfD,delta,represented_party,1010449,-1010449,1308727,298278,False
13,SPD,delta,represented_party,298278,-298278,298278,0,False
